iter	Passed	Remaining
323	8603	24616
324	8631	24593
325	8656	24561
326	8681	24531
327	8707	24503
328	8733	24476
329	8757	24442
330	8787	24423
331	8819	24412
332	8848	24392
333	8878	24374
334	8910	24363
335	8936	24336
336	8962	24306
337	8996	24300
338	9022	24271
339	9050	24251
340	9073	24214
341	9100	24187
342	9121	24147
343	9148	24121
344	9172	24087
345	9200	24064
346	9225	24034
347	9254	24014
348	9284	23996
349	9316	23982
350	9342	23954
351	9374	23941
352	9401	23915
353	9428	23891
354	9458	23872
355	9487	23851
356	9512	23820
357	9533	23779
358	9557	23746
359	9581	23714
360	9604	23679
361	9628	23646
362	9648	23602
363	9666	23556
364	9688	23516
365	9707	23472
366	9727	23431
367	9746	23386
368	9765	23342
369	9786	23301
370	9806	23259
371	9825	23216
372	9844	23172
373	9863	23129
374	9884	23089
375	9904	23049
376	9923	23006
377	9945	22969
378	9965	22929
379	9986	22889
380	10005	22846
381	10023	22802
382	10042	22759
383	10061	22717
384	10084	22683
385	10105	22645
386	10126	22606
387	10155	22587
388	10187	22575
389	10219	22560
390	10244	22532
391	10275	22516
392	10303	22493
393	10331	22472
394	10354	22439
395	10385	22424
396	10411	22395
397	10440	22376
398	10476	22370
399	10530	22404
400	10570	22406
401	10593	22373
402	10634	22377
403	10665	22360
404	10701	22354
405	10739	22352
406	10769	22332
407	10793	22301
408	10823	22281
409	10846	22247
410	10870	22217
411	10896	22188
412	10919	22156
413	10941	22120
414	10966	22090
415	10989	22057
416	11011	22022
417	11038	21998
418	11065	21972
419	11088	21940
420	11111	21907
421	11133	21870
422	11157	21840
423	11179	21806
424	11206	21779
425	11230	21748
426	11254	21718
427	11280	21691
428	11304	21660
429	11329	21632
430	11356	21607
431	11412	21636
432	11439	21611
433	11470	21593
434	11497	21567
435	11522	21538
436	11545	21505
437	11573	21482
438	11605	21465
439	11666	21503
440	11695	21482
441	11747	21501
442	11781	21487
443	11807	21460
444	11837	21440
445	11859	21406
446	11884	21375
447	11910	21348
448	11933	21315
449	11960	21289
450	11987	21263
451	12011	21232
452	12041	21211
453	12067	21184
454	12094	21158
455	12118	21127
456	12142	21096
457	12173	21078
458	12197	21047
459	12221	21016
460	12245	20984
461	12271	20956
462	12292	20921
463	12318	20892
464	12343	20864
465	12365	20830
466	12392	20804
467	12429	20795
468	12464	20783
469	12490	20755
470	12517	20729
471	12543	20701
472	12572	20679
473	12597	20650
474	12624	20624
475	12656	20607
476	12686	20585
477	12716	20564
478	12751	20550
479	12787	20539
480	12805	20499
481	12833	20474
482	12856	20442
483	12879	20410
484	12908	20387
485	12936	20362
486	12963	20336
487	12989	20309
488	13015	20282
489	13039	20250
490	13066	20224
491	13095	20202
492	13119	20171
493	13146	20146
494	13180	20129
495	13208	20105
496	13233	20077
497	13259	20049
498	13287	20025
499	13313	19997
500	13342	19974
501	13373	19952
502	13402	19931
503	13431	19907
504	13463	19888
505	13492	19866
506	13520	19841
507	13549	19817
508	13580	19797
509	13605	19768
510	13637	19749
511	13668	19728
512	13703	19714
513	13735	19694
514	13765	19672
515	13794	19648
516	13822	19624
517	13850	19599
518	13880	19576
519	13908	19552
520	13935	19525
521	13962	19498
522	13990	19474
523	14020	19452
524	14052	19432
525	14079	19406
526	14110	19384
527	14143	19366
528	14171	19341
529	14196	19313
530	14221	19282
531	14249	19258
532	14281	19237
533	14308	19211
534	14340	19191
535	14366	19164
536	14391	19134
537	14417	19107
538	14446	19083
539	14473	19056
540	14502	19033
541	14532	19009
542	14559	18984
543	14585	18955
544	14616	18933
545	14646	18911
546	14678	18891
547	14708	18868
548	14737	18845
549	14765	18819
550	14792	18792
551	14817	18763
552	14848	18741
553	14877	18718
554	14903	18689
555	14936	18670
556	14961	18642
557	14992	18620
558	15022	18597
559	15051	18572
560	15080	18548
561	15110	18525
562	15139	18501
563	15169	18478
564	15201	18456
565	15228	18430
566	15254	18402
567	15279	18373
568	15303	18342
569	15328	18314
570	15356	18288
571	15380	18257
572	15405	18228
573	15432	18201
574	15459	18174
575	15486	18147
576	15510	18118
577	15535	18088
578	15562	18062
579	15588	18034
580	15612	18004
581	15640	17978
582	15668	17953
583	15700	17931
584	15731	17910
585	15760	17884
586	15788	17859
587	15817	17835
588	15848	17812
589	15874	17785
590	15911	17768
591	15943	17748
592	15974	17725
593	16006	17703
594	16034	17678
595	16063	17653
596	16093	17630
597	16121	17604
598	16153	17583
599	16183	17559
600	16215	17538
601	16247	17515
602	16273	17488
603	16302	17463
604	16334	17441
605	16360	17413
606	16384	17383
607	16417	17362
608	16445	17336
609	16476	17314
610	16506	17290
611	16540	17270
612	16567	17242
613	16595	17217
614	16624	17192
615	16650	17164
616	16679	17139
617	16712	17117
618	16740	17092
619	16771	17069
620	16802	17046
621	16835	17024
622	16864	16999
623	16893	16974
624	16918	16946
625	16949	16922
626	16976	16895
627	17007	16872
628	17036	16847
629	17067	16824
630	17095	16797
631	17126	16773
632	17153	16746
633	17183	16722
634	17214	16699
635	17244	16675
636	17274	16650
637	17305	16627
638	17335	16602
639	17363	16577
640	17392	16551
641	17423	16528
642	17450	16500
643	17479	16475
644	17509	16451
645	17539	16425
646	17570	16403
647	17600	16378
648	17628	16352
649	17657	16326
650	17687	16301
651	17715	16275
652	17740	16246
653	17769	16220
654	17800	16197
655	17831	16173
656	17857	16144
657	17889	16122
658	17924	16102
659	17952	16075
660	17978	16047
661	18006	16020
662	18032	15992
663	18058	15964
664	18086	15937
665	18115	15912
666	18141	15884
667	18168	15856
668	18195	15828
669	18219	15799
670	18243	15769
671	18269	15741
672	18294	15712
673	18323	15686
674	18351	15660
675	18375	15630
676	18401	15601
677	18426	15572
678	18452	15544
679	18477	15515
680	18502	15486
681	18532	15462
682	18570	15443
683	18599	15417
684	18627	15391
685	18653	15363
686	18681	15337
687	18707	15308
688	18732	15279
689	18758	15251
690	18783	15222
691	18806	15192
692	18831	15163
693	18854	15132
694	18881	15105
695	18908	15077
696	18934	15050
697	18966	15026
698	18998	15003
699	19028	14977
700	19063	14956
701	19094	14932
702	19125	14908
703	19158	14885
704	19187	14859
705	19220	14837
706	19252	14814
707	19295	14798
708	19327	14774
709	19357	14749
710	19383	14721
711	19412	14695
712	19441	14670
713	19473	14646
714	19501	14619
715	19532	14594
716	19559	14567
717	19584	14538
718	19610	14509
719	19636	14482
720	19669	14458
721	19700	14434
722	19729	14408
723	19757	14381
724	19782	14352
725	19812	14327
726	19840	14300
727	19868	14273
728	19894	14245
729	19921	14217
730	19948	14190
731	19973	14161
732	19998	14132
733	20025	14104
734	20049	14075
735	20074	14046
736	20098	14017
737	20122	13987
738	20146	13958
739	20174	13931
740	20201	13903
741	20226	13875
742	20252	13846
743	20280	13820
744	20309	13793
745	20339	13768
746	20370	13743
747	20394	13714
748	20423	13688
749	20453	13663
750	20481	13635
751	20508	13608
752	20534	13580
753	20560	13552
754	20588	13525
755	20617	13499
756	20647	13473
757	20677	13448
758	20710	13424
759	20738	13398
760	20766	13371
761	20793	13343
762	20822	13317
763	20852	13291
764	20880	13265
765	20909	13238
766	20937	13212
767	20964	13184
768	20987	13154
769	21017	13129
770	21046	13102
771	21070	13073
772	21098	13046
773	21125	13018
774	21153	12992
775	21182	12966
776	21210	12939
777	21239	12912
778	21266	12885
779	21294	12858
780	21318	12829
781	21344	12801
782	21367	12771
783	21393	12743
784	21416	12713
785	21445	12687
786	21473	12660
787	21504	12634
788	21534	12609
789	21563	12583
790	21591	12556
791	21614	12526
792	21640	12498
793	21667	12470
794	21692	12442
795	21717	12414
796	21748	12388
797	21779	12363
798	21806	12336
799	21834	12308
800	21861	12281
801	21890	12255
802	21921	12230
803	21949	12203
804	21978	12176
805	22010	12152
806	22036	12124
807	22068	12099
808	22100	12074
809	22132	12049
810	22160	12022
811	22188	11996
812	22216	11968
813	22245	11942
814	22273	11915
815	22302	11889
816	22331	11863
817	22359	11835
818	22388	11809
819	22416	11782
820	22442	11754
821	22473	11728
822	22501	11701
823	22529	11675
824	22559	11648
825	22586	11621
826	22614	11594
827	22643	11567
828	22672	11541
829	22708	11518
830	22736	11491
831	22765	11464
832	22798	11440
833	22829	11414
834	22864	11391
835	22891	11363
836	22921	11337
837	22952	11311
838	22979	11284
839	23010	11258
840	23036	11230
841	23068	11205
842	23096	11178
843	23121	11149
844	23146	11121
845	23176	11094
846	23203	11067
847	23230	11039
848	23253	11010
849	23280	10982
850	23307	10955
851	23333	10927
852	23363	10900
853	23398	10877
854	23434	10853
855	23470	10830
856	23502	10804
857	23529	10777
858	23555	10749
859	23583	10722
860	23607	10693
861	23633	10665
862	23659	10637
863	23687	10610
864	23715	10583
865	23746	10557
866	23779	10531
867	23813	10507
868	23844	10481
869	23874	10455
870	23902	10428
871	23930	10401
872	23962	10375
873	23995	10350
874	24023	10323
875	24053	10296
876	24082	10270
877	24111	10243
878	24138	10215
879	24167	10188
880	24190	10159
881	24223	10134
882	24258	10109
883	24294	10085
884	24325	10059
885	24357	10034
886	24390	10009
887	24417	9981
888	24447	9954
889	24482	9930
890	24514	9904
891	24582	9893
892	24633	9875
893	24668	9850
894	24693	9822
895	24716	9792
896	24737	9762
897	24760	9733
898	24782	9703
899	24803	9673
900	24824	9643
901	24846	9613
902	24868	9583
903	24889	9553
904	24911	9524
905	24932	9494
906	24953	9464
907	24975	9434
908	24997	9405
909	25024	9377
910	25052	9349
911	25088	9325
912	25127	9302
913	25171	9281
914	25208	9256
915	25254	9236
916	25285	9209
917	25316	9183
918	25355	9159
919	25383	9132
920	25416	9106
921	25447	9080
922	25480	9054
923	25510	9027
924	25542	9001
925	25574	8975
926	25600	8947
927	25628	8920
928	25657	8892
929	25693	8868
930	25717	8839
931	25777	8823
932	25807	8796
933	25842	8770
934	25872	8743
935	25902	8717
936	25928	8689
937	25956	8661
938	25984	8633
939	26009	8605
940	26036	8577
941	26065	8550
942	26095	8523
943	26126	8496
944	26159	8470
945	26189	8443
946	26216	8415
947	26244	8388
948	26274	8361
949	26306	8335
950	26337	8308
951	26369	8282
952	26399	8255
953	26426	8227
954	26455	8199
955	26485	8172
956	26513	8145
957	26542	8117
958	26571	8090
959	26600	8063
960	26628	8035
961	26658	8008
962	26688	7981
963	26717	7954
964	26747	7927
965	26774	7899
966	26802	7871
967	26825	7842
968	26854	7815
969	26880	7786
970	26910	7759
971	26942	7733
972	26967	7704
973	26991	7676
974	27016	7647
975	27044	7620
976	27068	7591
977	27091	7562
978	27117	7534
979	27143	7506
980	27168	7477
981	27196	7450
982	27224	7422
983	27249	7393
984	27276	7365
985	27303	7338
986	27333	7311
987	27359	7282
988	27392	7256
989	27424	7230
990	27461	7204
991	27494	7178
992	27530	7152
993	27574	7129
994	27613	7104
995	27658	7081
996	27693	7055
997	27726	7028
998	27757	7002
999	27789	6975
1000	27823	6949
1001	27857	6922
1002	27882	6894
1003	27912	6866
1004	27940	6839
1005	27972	6812
1006	28000	6784
1007	28024	6755
1008	28051	6727
1009	28076	6699
1010	28106	6672
1011	28137	6645
1012	28163	6616
1013	28188	6588
1014	28216	6560
1015	28239	6531
1016	28267	6503
1017	28304	6478
1018	28336	6451
1019	28361	6423
1020	28394	6396
1021	28427	6369
1022	28459	6342
1023	28499	6317
1024	28538	6292
1025	28571	6265
1026	28604	6239
1027	28633	6211
1028	28661	6183
1029	28703	6158
1030	28736	6132
1031	28780	6107
1032	28821	6082
1033	28858	6056
1034	28895	6030
1035	28929	6003
1036	28971	5978
1037	28998	5950
1038	29026	5922
1039	29054	5894
1040	29081	5866
1041	29107	5838
1042	29139	5811
1043	29167	5783
1044	29192	5754
1045	29231	5729
1046	29269	5702
1047	29299	5675
1048	29329	5647
1049	29356	5619
1050	29385	5591
1051	29414	5564
1052	29439	5535
1053	29467	5507
1054	29496	5479
1055	29524	5451
1056	29552	5423
1057	29578	5395
1058	29610	5368
1059	29640	5340
1060	29673	5313
1061	29708	5287
1062	29741	5259
1063	29774	5232
1064	29806	5205
1065	29839	5178
1066	29872	5151
1067	29904	5124
1068	29934	5096
1069	29969	5069
1070	29998	5041
1071	30028	5014
1072	30057	4986
1073	30084	4958
1074	30110	4929
1075	30136	4901
1076	30165	4873
1077	30189	4844
1078	30214	4816
1079	30238	4787
1080	30260	4758
1081	30286	4730
1082	30310	4701
1083	30334	4673
1084	30358	4644
1085	30383	4616
1086	30418	4589
1087	30445	4561
1088	30481	4534
1089	30515	4507
1090	30544	4479
1091	30573	4451
1092	30609	4424
1093	30640	4397
1094	30670	4369
1095	30706	4342
1096	30738	4315
1097	30765	4287
1098	30792	4258
1099	30816	4230
1100	30841	4201
1101	30868	4173
1102	30893	4145
1103	30916	4116
1104	30941	4088
1105	30965	4059
1106	30986	4030
1107	31012	4002
1108	31038	3974
1109	31063	3945
1110	31092	3918
1111	31136	3892
1112	31172	3865
1113	31206	3837
1114	31236	3810
1115	31270	3782
1116	31308	3755
1117	31354	3730
1118	31383	3702
1119	31412	3674
1120	31444	3646
1121	31475	3618
1122	31508	3591
1123	31538	3563
1124	31568	3535
1125	31601	3508
1126	31635	3480
1127	31668	3453
1128	31703	3425
1129	31730	3397
1130	31758	3369
1131	31785	3341
1132	31816	3313
1133	31847	3285
1134	31876	3257
1135	31908	3230
1136	31937	3202
1137	31963	3173
1138	31988	3145
1139	32014	3117
1140	32036	3088
1141	32061	3060
1142	32086	3031
1143	32115	3003
1144	32145	2975
1145	32169	2947
1146	32195	2919
1147	32221	2890
1148	32247	2862
1149	32276	2834
1150	32306	2806
1151	32333	2778
1152	32363	2750
1153	32395	2723
1154	32434	2695
1155	32467	2668
1156	32496	2640
1157	32527	2612
1158	32561	2584
1159	32594	2556
1160	32630	2529
1161	32657	2501
1162	32685	2473
1163	32711	2444
1164	32785	2420
1165	32881	2397
1166	32927	2370
1167	32961	2342
1168	32990	2314
1169	33021	2286
1170	33047	2257
1171	33071	2229
1172	33095	2200
1173	33121	2172
1174	33145	2143
1175	33171	2115
1176	33196	2087
1177	33221	2058
1178	33246	2030
1179	33270	2001
1180	33297	1973
1181	33322	1945
1182	33350	1917
1183	33378	1888
1184	33412	1860
1185	33441	1832
1186	33470	1804
1187	33495	1776
1188	33521	1747
1189	33548	1719
1190	33572	1691
1191	33595	1662
1192	33621	1634
1193	33648	1606
1194	33674	1578
1195	33702	1549
1196	33730	1521
1197	33754	1493
1198	33782	1465
1199	33810	1436
1200	33842	1408
1201	33877	1381
1202	33916	1353
1203	33947	1325
1204	33982	1297
1205	34013	1269
1206	34040	1240
1207	34072	1212
1208	34100	1184
1209	34129	1156
1210	34153	1128
1211	34179	1099
1212	34212	1071
1213	34237	1043
1214	34267	1015
1215	34290	986
1216	34318	958
1217	34346	930
1218	34380	902
1219	34411	874
1220	34438	846
1221	34470	818
1222	34498	789
1223	34530	761
1224	34561	733
1225	34593	705
1226	34627	677
1227	34664	649
1228	34695	621
1229	34728	592
1230	34760	564
1231	34789	536
1232	34815	508
1233	34841	479
1234	34865	451
1235	34890	423
1236	34920	395
1237	34947	366
1238	34974	338
1239	34999	310
1240	35024	282
1241	35051	253
1242	35075	225
1243	35098	197
1244	35124	169
1245	35151	141
1246	35181	112
1247	35208	84
1248	35232	56
1249	35256	28
1250	35284	0
